assemblage_code,analyst_id,analysis_order,flake_id,completeness,damage,damage_comment,dorsal_cortex,Dorsal_Cortex_Location,dorsal_cortex_location_other,platform_cortex,dorsal_scar_count,directionality,Proximal_Scars,Left_Scars,Distal_Scars,Right_Scars,Mass,MaximumDimension,MaximumWidth,MaximumThickness,TechLength,TechMaxWidth,TechMaxThickness,TECHWIDTHPROX,TECHWIDTHMES,TECHWIDTHDIST,TECHTHICKPROX,TECHTHICKMES,TECHTHICKDIST,PLATFWIDTH,PLATFTHICKIMPACT,PLATFTHICKMID,PLATFTHICKMAX,EDGEPLATF,EDGEPLATF_DEG,PLATFMORPH,PLATFLIPP,BULB,SHATTBULB,INITIATION,VENTR_PLANE_FORM,ANGLE_HEIGHT,SECTION,LATEDGETYPE,FLAKETERM,DISTPLANFORM,DISTPROFANGLE,KOMBEWA,FLK_TYPE,RED_SYST,FLK_FORM,REMARK
chert_condition_B,8240a,8,87,complete,no,,0,,,Absent,2,Other,0,1,0,1,19,51.06,41.98,19.06,42.28,49.91,19.39,43.21,43.75,31.87,13.66,8.28,5.18,38.64,18.38,19.02,19.02,55,,Plain,No,Yes,No,Hertzian,FLAT,20.14,TRIANGULAR,DIAMOND,FEATHER,Pointed,50,No,na,Levallois non-Nubian,FLAKE,measured in Geneva
chert_condition_B,8240a,8,67,complete,no,,25,Proximal,,Partial,3,Indeterminate,0,1,1,1,54.09999847,66.48999786,52.18000031,20.30999947,53.54999924,66.41000366,20.95999908,0,0,0,20.95999908,19.80999947,9.569999695,0,0,0,0,0,,Indeterminate,Indeterminate,Yes,No,Hertzian,FLAT,20.10000038,LENTICULAR,AMORPH,FEATHER,Pointed,0,No,,,FLAKE,"poss break on left from split, no tech width measurements taken; cortical irregular platform, few pf measurements taken"
chert_condition_B,8240a,8,79,complete,no,,0,,,Absent,7,Centripetal,4,1,1,1,70,69.21,60.85,21.62,63.4,61.63,20.42,38,50.08,49.46,18.28,20.42,11.29,23.95,15.37,14.75,16.23,75,,Plain,No,Yes,No,Hertzian,FLAT,20.04,TRAPEZOIDAL,DIAMOND,FEATHER,Pointed,66,No,Levallois flake,Levallois non-Nubian,FLAKE,measured in Geneva; break/split on left but treated as complete
chert_condition_B,8240a,8,75,complete,yes,"slight edge damage, maybe from use?",0,,,Absent,4,Centripetal,2,1,1,0,0,78.65000153,56.50999832,19.84000015,59.97000122,54.09999847,19.97999954,35.50999832,46.40000153,57.7,18.56999969,12.73999977,5.829999924,18.37000084,19.54999924,19.52,19.77000046,0,,Indeterminate,No,Yes,No,Hertzian,FLAT,19.70000076,TRIANGULAR,DIVERGENT,FEATHER,Flat,0,No,possibly Levallois ish,possible Levallois non-Nubian,FLAKE,leaving out several variables for not because lack of notes on the attribute list and lack of modified calipers
chert_condition_B,8240a,8,28,complete,no,,0,,,Complete,3,Indeterminate,0,2,1,0,29.39999962,68.41000366,43.79999924,17.12999916,68.62000275,43.90000153,16.27000046,18.63999939,26.54999924,34.26,7.820000172,10.52000046,14.05000019,0,0,0,0,0,,Indeterminate,Yes,Indeterminate,Indet,Hertzian,FLAT,19.29999924,RIGHTTRIANGLE,PARALLEL,HINGE,Flat,0,No,,,FLAKE,"split left, poss overshot"
chert_condition_A,9d812,1,8,complete,no,,80,other,everywhere but proxleft and left,Indeterminate,1,Unidirectional,1,0,0,0,31.83,60.16,46.36,18.44,52.72,50.24,18.77,34.97,44.81,50.31,18.16,13.04,7.46,,,,,4.02,105.8054787,Other,No,Yes,Yes,Hertzian,CONCAVE,19,TRIANGULAR,DIVERGENT,FEATHER,Pointed,0-30,No,,,FLAKE,"PLATFORM SHATTERED, CREATING MULTIPLE REMOVALS SIMULTANEOUSLY; SOME MEASUREMENTS IMPOSSIBLE. COULD BE CONSIDERED PROXIMAL FLAKE, SOME OF CORTEX AT DISTAL END CRUMBLED OFF."
chert_condition_B,9d812,1,79,complete,no,,0,,,Absent,8,Subcentripetal,6,1,2,0,69.69,67.99,61.64,21.24,65.84,59.22,20.81,41.9,55.13,39.9,19.8,19.33,11.17,25.57,16.08,14.5,16.08,2.59,80.86024725,Plain,No,Yes,No,Hertzian,BULBAR,19,TRAPEZOIDAL,DIVERGENT,FEATHER,Pointed,31-60,No,,,FLAKE,
chert_condition_B,8240a,8,1,complete,no,,100,All,,Complete,0,,0,0,0,0,0,91.30000305,61.24000168,25.92000008,88.48999786,61.54999924,26.65999985,56.25999832,58.90999985,47.37,25.84000015,20.88999939,8.899999619,0,0,0,0,0,,Indeterminate,No,Yes,No,Hertzian,FLAT,18.79999924,DOMED,OVOID,FEATHER,Rounded,0,No,,,FLAKE,
chert_condition_A,8240a,8,51,complete,no,,0,,,Absent,8,UnidirectionalConvergent,3,3,1,1,90.30000305,90.06999969,57.50999832,19.61000061,84.05000305,69.06999969,19.09000015,51.54000092,43.54000092,40.58,16.79999924,17.25,12.13000011,57.59000015,8.859999657,9.93,15.65999985,3.450000048,,Plain,No,Yes,No,Hertzian,FLAT,18.39999962,TRAPEZOIDAL,CONVERGENT,FEATHER,Pointed,0,No,Levallois,Levallois,CONVFLAKE,
chert_condition_A,8240a,8,87,complete,no,,0,,,Absent,3,Indeterminate,1,1,0,1,27,60.74000168,38.34000015,18.09000015,54.13000107,37.83000183,18.68000031,23.69000053,37.29999924,26.09,16.90999985,15.93000031,11.02999973,0,13.39000034,0,8.289999962,0,,Plain,No,Yes,No,Hertzian,FLAT,18.29999924,RIGHTTRIANGLE,AMORPH,FEATHER,Flat,0,No,debordant,,FLAKE,
chert_condition_A,8240a,8,8,complete,no,,85,All,,Partial,1,Indeterminate,1,0,0,0,31.60000038,60.63000107,43.95999908,18.87999916,60.45999908,50.02999878,18.62999916,30.35000038,42.95999908,33.6,16.29000092,12.68999958,8.149999619,0,0,0,0,0,,Crushed,No,Yes,No,Hertzian,CONCAVE,18.10000038,TRIANGULAR,AMORPH,FEATHER,Irreg,0,No,,,FLAKE,
chert_condition_A,9d812,1,60,medial,no,,0,,,Absent,8,Centripetal,5,0,2,1,64.29,85.27,62.49,14.61,,52.59,13.13,49.86,47.46,53.06,12.51,12.46,8.29,,6.94,,,3.06,90.37570868,,No,Yes,No,Hertzian,CONCAVE,18,TRIANGULAR,PARALLEL,FEATHER,Irreg,31-60,No,,,FLAKE,PLATFORM ALSO BROKEN
