,,,,,,,,,,
original flake id,new flake id,assemblage_code,variable,cv,mean,sd,min,max,median,range
92,72,chert_condition_B,maximumthickness,0.03,15.82,0.43,15.04,16.5,15.83,1.46
92,72,chert_condition_B,techlength,0.06,42.49,2.45,37.97,46.5,43.31,8.53
92,72,chert_condition_B,techmaxwidth,0.02,43.35,0.71,41.55,43.93,43.67,2.38
92,72,chert_condition_B,techmaxthickness,0.13,15.27,1.98,9.57,16.95,15.79,7.38
92,72,chert_condition_B,techwidthprox,0.01,37.2,0.44,36.49,37.91,37.2,1.42
92,72,chert_condition_B,techwidthmes,0.02,42.74,0.78,40.8,43.7,42.83,2.9
92,72,chert_condition_B,techwidthdist,0.09,37.37,3.49,29.21,41.1,38.66,11.89
92,72,chert_condition_B,techthickprox,0.02,15.42,0.34,14.9,16.21,15.41,1.31
92,72,chert_condition_B,techthickmes,0.08,14.14,1.17,11.89,15.91,13.83,4.02
92,72,chert_condition_B,techthickdist,0.24,7.05,1.69,4.09,9.15,6.35,5.06
92,72,chert_condition_B,platfwidth,0.01,34.37,0.33,33.56,34.65,34.44,1.09
92,72,chert_condition_B,platfthickimpact,0.04,16.45,0.73,15.03,17.36,16.74,2.33
92,72,chert_condition_B,platfthickmid,0.04,16.28,0.65,15.03,17.27,16.31,2.24
92,72,chert_condition_B,platfthickmax,0.03,16.66,0.57,15.71,17.67,16.74,1.96
25,73,chert_condition_B,dorsal_cortex,0.24,90.45,21.96,35,100,100,65
25,73,chert_condition_B,maximumdimension,0.04,78.09,3.44,70.49,80.52,79.89,10.03
25,73,chert_condition_B,maximumwidth,0.05,67.85,3.7,61.9,72.16,68.59,10.26
25,73,chert_condition_B,maximumthickness,0.06,17,1.06,15.12,18.72,16.62,3.6
25,73,chert_condition_B,techlength,0.01,70.09,0.79,68.66,71.28,70.2,2.62
25,73,chert_condition_B,techmaxwidth,0.07,63.43,4.7,56.72,75.03,62.26,18.31
25,73,chert_condition_B,techmaxthickness,0.13,16.16,2.03,12.4,19.01,16.28,6.61
25,73,chert_condition_B,techwidthprox,0.1,57.11,5.48,48.84,63.64,58.91,14.8
25,73,chert_condition_B,techwidthmes,0.06,57.85,3.61,53.17,64.61,57.1,11.44
25,73,chert_condition_B,techwidthdist,0.08,56.55,4.59,47.61,62.67,56.5,15.06
25,73,chert_condition_B,techthickprox,0.04,16.27,0.69,14.97,17.09,16.5,2.12
25,73,chert_condition_B,techthickmes,0.05,12.3,0.59,11.4,13.02,12.49,1.62
25,73,chert_condition_B,techthickdist,0.18,10.3,1.9,6.57,12.66,10.6,6.09
25,73,chert_condition_B,platfwidth,0.07,24.98,1.85,21.67,28.49,25.05,6.82
