"","assemblage_code","analyst_id","analysis_order","flake_id","completeness","damage","damage_comment","dorsal_cortex","dorsal_cortex_location","dorsal_cortex_location_other","platform_cortex","dorsal_scar_count","directionality","proximal_scars","left_scars","distal_scars","right_scars","mass","maximumdimension","maximumwidth","maximumthickness","techlength","techmaxwidth","techmaxthickness","techwidthprox","techwidthmes","techwidthdist","techthickprox","techthickmes","techthickdist","platfwidth","platfthickimpact","platfthickmid","platfthickmax","edgeplatf","edgeplatf_deg","platfmorph","platflipp","bulb","shattbulb","initiation","ventr_plane_form","angle_height","section","latedgetype","flaketerm","distplanform","distprofangle","kombewa","flk_type","red_syst","flk_form","remark","new_flake_id"
"525","chert_condition_A","r42o8",5,"74","proximal","no",NA,0,NA,NA,"Absent",9,"Unidirectional",3,0,0,0,19.1,61.26,43.21,9.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.77,6.4,7.09,16.14,2.64,81.94347267,"ChapeauDeGendarme","no","yes","No","Hertzian",NA,NA,"Triangular","Amorphous",NA,NA,NA,"No","indeterminate",NA,"Flake",NA,2
"526","chert_condition_A","a8acd",11,"21","proximal","no",NA,25,"Right",NA,"Absent",2,"Indeterminate",1,1,0,0,7.6,39.7,31.81,5.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.85,5.1,5.79,7.69,2.63,NA,"Facetted","no","no","Yes","Wedging","Flat",NA,"Triangular","Parallel",NA,NA,NA,"No","CORE PREPARATION FLAKE; CORTICAL FLAKE",NA,"Flake",NA,42
"527","chert_condition_A","a8acd",11,"12","complete","yes","LIGHT EDGE DAMAGE",95,"All",NA,"Absent",1,"Indeterminate",0,1,0,0,14.9,50.94,27,9.43,44.96,44.62,9.95,26.98,26.78,30.54,9.13,9.42,6.31,18.38,0.92,5.08,5.74,2.43,NA,"Plain","yes","yes","No","Hertzian","Twisted",NA,"Trapezoidal","Divergent",NA,"Flat",NA,"No","CORE PREPARATION FLAKE; CORTICAL FLAKE","Bipolar","Flake","POSSIBLY ON ANVIL BECAUSE OF THE SMALL SCARS ON DISTAL END, VENTRAL FACE, OPPOSITE TO PLATFORM",21
"528","chert_condition_A","r42o8",5,"71","proximal","yes","right lateral",0,NA,NA,"Absent",2,"Unidirectional",1,0,0,0,7,45.74,27.08,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.53,4.47,5.79,10.53,2.32,74.69869809,"Facetted","no","yes","Yes","Hertzian",NA,NA,"Lenticular",NA,NA,NA,NA,"No","indeterminate",NA,"Flake",NA,24
"529","chert_condition_A","9d812",1,"71","proximal","no",NA,0,NA,NA,"Absent",NA,NA,NA,NA,NA,NA,7.04,45.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.73,4.18,6.5,8.23,2.11,69.52740167,"Facetted","no","yes","Yes","Hertzian",NA,NA,NA,NA,NA,NA,NA,"No",NA,"Levallois",NA,NA,24
"530","chert_condition_A","a8acd",11,"71","proximal","yes","PIECE BROKE OFF FROM LATERAL PART AND TAPED BACK",NA,NA,NA,"Absent",2,"UnidirectionalConvergent",1,1,0,0,7,45.68,25.08,6.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.15,5.14,7.02,9.31,1.78,NA,"Facetted","no","yes","Yes","Hertzian",NA,NA,"Lenticular",NA,NA,NA,NA,"No","UNIDIRECTIONAL CONVERGENT FLAKE","Levallois","Flake",NA,24
"531","chert_condition_A","a8acd",11,"87","complete","yes","LIGHT EDGE DAMAGE",NA,NA,NA,"Absent",4,"Subcentripetal",0,0,3,1,26.9,58.76,38.28,18.72,50.2,42.85,18.14,23.39,38.45,23.7,16.28,16.97,13.29,11.29,9.8,7.98,9.8,1.73,NA,"Dihedral","no","yes","Yes","Hertzian","Bulbar",NA,"Triangular","Divergent","Feather","Pointed","31-60","No","DISCOID FLAKE , DOS LIMITE - DEBORDANT","Discoid","Flake",NA,7
"532","chert_condition_A","3d396",4,"200","distal","yes","minor edge fracture",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,41.21,23.42,4.74,27.64,32.22,4.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feather","Irregular","0-30","Indeterminate",NA,NA,NA,NA,48
"533","chert_condition_A","3d396",4,"36","complete","no",NA,70,"Other","Central and left medial","Absent",3,"Other",2,0,0,0,4.2,38.96,23.69,7.45,29.02,27.27,8.66,11.72,24.22,27.6,8.67,5.2,2.86,NA,NA,NA,NA,NA,NA,"Crushed",NA,NA,NA,"Hertzian","Twisted",NA,"Triangular","Amorphous","Overshot",NA,NA,"No","none",NA,"Flake",NA,27
"534","chert_condition_A","3d396",4,"26","distal","yes","burin spall across break.",70,"Other","all except distal end, though this is only a fragment",NA,NA,NA,NA,NA,NA,NA,29.4,53.88,38.7,17.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feather","Flat",">60","No",NA,NA,NA,NA,10
"535","chert_condition_A","3d396",4,"14","medial","no","minor edge fracture to laterals",25,"Right",NA,NA,NA,NA,NA,NA,NA,NA,2.7,32.17,24.41,3.78,25.47,21.73,4.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triangular","Parallel",NA,NA,NA,"No",NA,NA,NA,NA,50
"536","chert_condition_A","3d396",4,"12","complete","no",NA,90,"Other","all except left lateral","Absent",1,"Other",0,1,0,0,14.9,50.48,32.4,9.49,45.13,33.87,9.41,21.34,26.7,30.84,8.43,9.39,7.61,18.7,2.6,4.8,5.28,NA,NA,"Plain","no","no","No","Hertzian","Twisted",NA,"Domed","Divergent","Feather","Flat",">60","No","none",NA,"Flake",NA,21
"537","chert_condition_A","3d396",4,"9","complete","yes","extensive edge breakage",95,"Other","all but prox","Absent",1,"Other",0,0,0,0,120.9,101.19,62.01,28.03,89.98,65.14,26.76,50.13,60.48,52.02,25.88,22.06,9.23,7.3,2.06,2.06,2.06,NA,NA,"Linear","no","yes","No","Hertzian","Bulbar",NA,"Triangular","Amorphous","Feather","Irregular","0-30","No","none",NA,"Flake",NA,1
"538","chert_condition_A","9d812",1,"200","distal","no",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,41.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indeterminate",NA,NA,NA,NA,48
"539","chert_condition_A","9d812",1,"95","Indeterminate","no",NA,0,NA,NA,"Absent",NA,NA,NA,NA,NA,NA,3.78,35.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indeterminate",NA,NA,NA,"split flake fragment (siret)",47
"540","chert_condition_A","9d812",1,"26","Indeterminate","no",NA,80,NA,NA,"Complete",NA,NA,NA,NA,NA,NA,29.34,54.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indeterminate",NA,NA,NA,"split flake fragment (siret)",10
"541","chert_condition_A","9d812",1,"14","medial","no",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,32.15,27.36,3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indeterminate",NA,NA,NA,NA,50
"542","chert_condition_A","a8acd",11,"200","distal","yes","PIECE BROKE OFF FROM LATERAL PART AND TAPED BACK",NA,NA,NA,NA,3,"Bidirectional",0,0,2,1,3.2,39.2,24.03,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triangular","Convergent","Feather","Pointed","0-30","No","BIDIRECTIONAL FLAKE",NA,"Flake",NA,48
"543","chert_condition_A","a8acd",11,"26","distal","no",NA,80,"Mesial",NA,NA,1,"Indeterminate",0,0,1,0,29.2,51.81,40,17.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triangular",NA,"Feather","Flat",">60","No","CORE PREPARATION FLAKE; CORTICAL FLAKE",NA,"Flake",NA,10
