assemblage_code,analyst_id,flake_id,completeness,damage,damage_comment,dorsal_cortex,Dorsal_Cortex_Location,dorsal_cortex_location_other,platform_cortex,dorsal_scar_count,directionality,Proximal_Scars,Left_Scars,Distal_Scars,Right_Scars,Mass,MaximumDimension,MaximumWidth,MaximumThickness,TechLength,TechMaxWidth,TechMaxThickness,TECHWIDTHPROX,TECHWIDTHMES,TECHWIDTHDIST,TECHTHICKPROX,TECHTHICKMES,TECHTHICKDIST,PLATFWIDTH,PLATFTHICKIMPACT,PLATFTHICKMID,PLATFTHICKMAX,EDGEPLATF,EDGEPLATF_DEG,PLATFMORPH,PLATFLIPP,BULB,SHATTBULB,INITIATION,VENTR_PLANE_FORM,ANGLE_HEIGHT,SECTION,LATEDGETYPE,FLAKETERM,DISTPLANFORM,DISTPROFANGLE,KOMBEWA,FLK_TYPE,RED_SYST,FLK_FORM,REMARK
chert_condition_A,r42o8,102,complete,no,,0,,,Absent,5,Bidirectional,1,0,0,0,13,66.21,31.84,7.37,59.4,28.37,6.31,31.1,27.77,28.7,5.69,6.67,5.3,12.92,5.01,5.88,6.58,2.88,86.9036846,Facetted,No,Yes,No,Hertzian,Concave,3,Triangular,Parallel,Feather,Flat,0-30,No,indeterminate,indeterminate,Elong,
chert_condition_A,r42o8,47,complete,no,,0,,,Absent,5,Unidirectional,1,0,0,0,5.2,38.26,37.77,8.57,26.86,35.8,4.13,36.4,35.42,25.04,6.27,5.75,3.16,33.34,4.83,3.61,7.31,3.05,90.18816331,Plain,No,Yes,No,Hertzian,Flat,2,Indeterminate,Amorphous,Feather,Irregular,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,12,complete,no,,90,Other,most of the dorsal,Absent,1,Unidirectional,0,0,0,0,14.8,50.72,32.74,10.13,43.47,34.92,9.32,26.9,32.91,34.52,8.58,9.48,5.9,,,,,,0,Crushed,No,Yes,No,Hertzian,Concave,3,Lenticular,Amorphous,Feather,Flat,0-30,No,indeterminate,indeterminate,Flake,small ventral removal located at distal
chert_condition_A,r42o8,62,complete,yes,right lateral/distal,5,Distal,,Absent,7,UnidirectionalConvergent,2,0,0,0,11.1,50.35,34.85,8.34,45.57,29.01,6.43,28.1,28.6,28.6,8.44,6.32,4.34,13.09,4.31,5.16,6.34,4.78,115.0886448,Plain,No,Yes,Yes,Hertzian,Flat,1,Trapezoidal,Parallel,Feather,Flat,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,71,proximal,yes,right lateral,0,,,Absent,2,Unidirectional,1,0,0,0,7,45.74,27.08,6.7,,,,,,,,,,41.53,4.47,5.79,10.53,2.32,74.69869809,Facetted,No,Yes,Yes,Hertzian,,,Lenticular,,,,,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,86,complete,no,,0,,,Absent,3,Indeterminate,0,0,0,0,22,72.17,39.31,10.45,60.26,37.09,8.79,29.45,37.19,33.85,10.52,7.99,4.41,11.59,9.54,5.81,10.45,2.72,83.64033976,Plain,No,Yes,Yes,Hertzian,Flat,2,Triangular,Parallel,Feather,Irregular,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,26,distal,no,,90,Other,most of the dorsal,,1,Indeterminate,0,0,0,0,29.3,54.22,50.14,17.23,,,,,,,,,,,,,,,0,,,,,,,,,,Feather,Flat,30-60,no,indeterminate,indeterminate,,Small burin in ventral
chert_condition_A,r42o8,57,complete,no,,0,,,Absent,7,Indeterminate,1,0,0,0,14.9,53.85,39.67,6.29,43.61,46.49,5.43,39.39,39.21,36.43,4.71,6.21,7.93,5.2,1.14,1.07,1.21,1.65,56.98295843,Linear,No,Yes,No,Hertzian,Bulbar,3,Triangular,Parallel,Feather,Flat,30-60,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,74,proximal,no,,0,,,Absent,9,Unidirectional,3,0,0,0,19.1,61.26,43.21,9.82,,,,,,,,,,42.77,6.4,7.09,16.14,2.64,81.94347267,ChapeauDeGendarme,No,Yes,No,Hertzian,,,Triangular,Amorphous,,,,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,79,complete,yes,dorsal,0,,,Absent,6,Unidirectional,2,0,0,1,30.8,62.16,59.11,13.51,56.82,60.27,7.88,36.35,52,46.41,14.66,9.51,5.81,53.02,10.04,10.11,11.96,3.11,91.30423785,Facetted,No,Yes,no,Hertzian,Flat,1,Lenticular,Amorphous,Hinge,Flat,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,76,complete,yes,,0,,,Absent,4,Bidirectional,1,0,0,0,1.2,33.99,13.23,3.2,32.17,13.88,2.33,2.33,12.65,11.46,10.98,3.82,2.4,2.21,2.44,2.04,2.89,3.07,90.56263816,Facetted,No,Yes,No,Hertzian,Flat,1,Triangular,Parallel,Feather,Irregular,0-30,No,bladelet,laminar,Elong,
chert_condition_A,r42o8,92,complete,no,,0,,,Absent,7,Indeterminate,0,0,0,0,4.4,39.27,31.26,7.23,33.63,22.9,3.59,20.53,22.62,25.08,5.47,3.81,3.14,14.4,4.56,4.48,5.08,2.85,86.30477947,Plain,No,Yes,No,Hertzian,Flat,1,Lenticular,Parallel,Hinge,Flat,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,46,complete,no,,0,,,Absent,4,Other,3,0,0,0,9.3,63.33,63.33,27.05,7.69,50.42,6.83,26.69,23.59,12.97,6.52,7.01,5.36,4.31,1.24,1.81,2.57,2.52,79.31388848,Plain,No,Yes,No,Hertzian,Flat,1,Triangular,Convergent,Feather,Pointed,0-30,No,dejete,other,Convflake,
chert_condition_A,r42o8,19,medial,no,,25,Right,,,2,Unidirectional,0,0,0,0,2.8,32.11,26.9,3.33,,,,,,,,,,,,,,,0,,,,,,,,,,,,,No,,,,
chert_condition_A,r42o8,91,complete,no,,0,,,Absent,9,Indeterminate,8,0,1,0,14.8,49.56,44.51,10.24,47.6,46.41,7.34,38.85,38.85,41.47,26.43,9.09,7.77,5.34,5.44,4.4,9.1,3.48,97.72146525,ChapeauDeGendarme,No,Yes,Yes,Hertzian,Flat,1,Triangular,Convergent,Feather,Pointed,0-30,No,levallois,levallois,Convflake,
chert_condition_A,r42o8,30,complete,no,,0,,,Absent,3,Unidirectional,1,0,0,0,21.3,61.73,41.26,12.09,49.38,40.07,8.33,36.38,38.1,32.94,13.66,7.66,4.7,35.73,10.63,12.72,14.17,3.36,95.72481045,Dihedral,No,Yes,No,Hertzian,Concave,3,Triangular,Convergent,Feather,Pointed,0-30,No,indeterminate,indeterminate,Convflake,
chert_condition_A,r42o8,8,distal,no,,80,Other,most of the dorsal,,1,Unidirectional,1,0,0,0,31.9,60.62,46.1,16.72,,,,,,,,,,,,,,,0,,,Yes,No,Hertzian,,,Triangular,Amorphous,Feather,Flat,30-60,No,indeterminate,indeterminate,Flake,missing platform
chert_condition_A,r42o8,63,complete,no,,0,,,Absent,5,Indeterminate,1,0,0,0,42.3,88.61,56.92,10.24,72.84,56.66,9.45,43.09,55.18,48.42,13.49,8.65,4.67,26.46,6.02,8.13,11.71,1.56,54.32997011,Plain,No,Yes,No,Hertzian,Flat,1,Lenticular,Ovoid,Feather,Flat,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,19,complete,no,,0,,,Absent,4,Unidirectional,4,0,0,0,18.6,59.69,48.96,9.61,55.49,44.73,6.08,50.29,41.95,26.7,7.53,5.55,6.1,20.82,5.12,5.05,7.21,2.52,79.31388848,Plain,No,Yes,No,Hertzian,Bulbar,3,Trapezoidal,Convergent,Feather,Pointed,0-30,No,indeterminate,indeterminate,Convflake,
chert_condition_A,r42o8,78,complete,no,,0,,,Absent,9,Indeterminate,3,0,0,0,18.5,61.84,50.3,9.27,57.43,52.35,5.6,38.58,42.04,24,7.97,6.45,4.76,27.41,7.89,8.31,7.48,8.83,142.0047897,Dihedral,No,Yes,No,Hertzian,Concave,4,Triangular,Convergent,Feather,Pointed,0-30,No,indeterminate,indeterminate,Convflake,
chert_condition_A,r42o8,15,complete,no,,5,Distal,left lateral,Absent,2,Unidirectional,2,0,0,0,60.8,84.35,56.36,56.42,17.59,83.46,48,12.77,47.56,49.54,15.99,12.96,9.44,44.47,5.35,8.75,15.35,3.94,104.6943404,ChapeauDeGendarme,No,Yes,Yes,Hertzian,Flat,2,Triangular,Parallel,Feather,Flat,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,7,complete,yes,distal piece,65,Left,,Absent,3,Unidirectional,1,0,0,0,118.5,83.74,60.79,30.12,75.39,60.71,25.79,56.4,60.88,51.06,28.93,24.54,11.47,29.28,13.73,9.84,14.07,,0,Plain,No,Yes,No,Hertzian,Concave,5,Triangular,Ovoid,Feather,Irregular,30-60,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,5,complete,yes,small splinters,100,,,Absent,0,,0,0,0,0,58,73.3,65.73,15.69,64.79,62.85,10.68,54.91,61.72,49.54,15.88,11.74,7.28,43.8,13.16,11.81,13.73,3.57,99.16851324,Facetted,No,Yes,No,Hertzian,Flat,2,Lenticular,Ovoid,Hinge,Rounded,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,9,complete,yes,splinters,95,,,Absent,3,Unidirectional,3,0,0,0,120.7,101.18,61.71,27.51,85.36,61.08,20.41,55.85,61.67,53.26,27.4,16.81,7.75,15.99,9.23,10.02,11.67,9.85,145.6964679,Plain,No,Yes,No,Hertzian,Concave,4,Righttriangle,Ovoid,Feather,Pointed,0-30,No,indeterminate,indeterminate,Flake,some removals near platform probably initial removals on rock
chert_condition_A,r42o8,10,complete,no,,100,,,Complete,0,,0,0,0,0,277,110.63,78.33,42.85,98.99,81.42,42.55,57.13,74.8,60.38,24.05,42.68,28.71,24.8,10.82,9.46,10.48,6.96,132.8103589,Cortical,No,Yes,No,Hertzian,,6,Triangular,Amorphous,Feather,Rounded,30-60,No,first flake,indeterminate,Flake,
chert_condition_A,r42o8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,core on flake?
chert_condition_B,r42o8,60,complete,no,,20,Distal,,Absent,3,Unidirectional,3,0,0,0,4.2,50.14,21.95,4.24,46.75,20.57,5.21,13.99,18.75,16.46,3.17,4.46,4.49,6.43,2.23,2.01,2.89,2.6,81.07830348,Plain,No,Yes,No,Hertzian,Concave,3,Indeterminate,Amorphous,Feather,Pointed,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_B,r42o8,3,complete,no,,50,Left,distal,Absent,5,Unidirectional,2,0,0,0,6.9,53.4,53.4,19.93,,,,,,,,,,,,,,,0,,No,No,No,Hertzian,Twisted,1,Triangular,Parallel,Feather,Flat,30-60,No,indeterminate,indeterminate,Flake,
chert_condition_B,r42o8,46,complete,no,,5,Left,medial,Absent,3,Orthogonal,0,0,0,0,16.2,62.35,39.63,9.32,54.85,30.89,8.32,21.86,33.73,29.71,5.63,9.4,6.78,3.81,0.49,0.5,0.86,2.2,71.78533138,Linear,No,No,Yes,Hertzian,Very_concave,6,Triangular,Divergent,Feather,Flat,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_B,r42o8,70,complete,yes,splinters,0,,,Absent,5,Centripetal,5,0,0,0,45.5,66.86,63.92,15.08,56.26,63.75,10.62,49.51,49.51,61.62,38.53,16.75,12.55,38.92,17.98,16.83,18.5,1.77,60.41908138,Plain,No,Yes,No,Hertzian,Concave,5,Triangular,Diamond,Feather,Pointed,0-30,No,indeterminate,indeterminate,Convflake,
chert_condition_B,r42o8,87,complete,no,,0,,,Absent,3,Unidirectional,2,0,0,0,19.3,51.65,44.35,17.61,42.47,49.8,8.97,44.89,48.03,29.89,14.41,10.03,5.12,33.45,18.63,17.6,18.69,2.77,84.67857536,Plain,Yes,Yes,No,Hertzian,Flat,1,Lenticular,Diamond,Feather,Pointed,0-30,No,indeterminate,indeterminate,Convflake,
chert_condition_B,r42o8,77,complete,no,,0,,,Absent,3,Unidirectional,2,0,0,0,3.2,34.54,31.18,6.3,24.92,29.42,3.03,28.82,29.19,21.66,4.67,3.74,3.38,30.47,2.92,2.53,8.08,2.89,87.10201193,Plain,No,Yes,No,Hertzian,Flat,0,Trapezoidal,Parallel,Feather,Flat,0-30,No,Blade,laminar,Flake,Parallel removals on short flake
chert_condition_B,r42o8,88,distal,no,,0,,,Absent,4,Multidirectional,0,1,0,0,1.4,21.22,19.3,2.88,,,,,,,,,,,,,,,0,,,,,Hertzian,Flat,1,Indeterminate,Divergent,Feather,Flat,30-60,No,indeterminate,indeterminate,Flake,platform seems to be missing
chert_condition_B,r42o8,91,complete,no,,0,,,Absent,8,UnidirectionalConvergent,2,0,0,0,19.6,57.46,38.71,11.58,50.39,35.97,8.53,31.88,35.87,24.96,12.58,9.78,6.93,20.94,12.63,12.58,13.05,2.04,67.72738114,Plain,No,Yes,Yes,Hertzian,Concave,3,Triangular,Diamond,Feather,Pointed,0-30,No,indeterminate,indeterminate,Convflake,
chert_condition_B,r42o8,23,complete,no,,80,Left,,Absent,1,Unidirectional,0,0,0,0,4.1,44.46,18.61,5.72,32.61,20.81,5.29,20.13,17.94,15.84,3.97,5.43,3.63,,,,,,0,Crushed,No,No,Yes,Hertzian,Flat,1,Domed,Parallel,Feather,Pointed,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_B,r42o8,31,complete,yes,splintersfrom lateral,1,Right,distal,Absent,3,Unidirectional,0,2,0,0,44.6,73.5,68.28,13.39,63.28,49.46,9.25,43.92,49.61,63.49,15.73,9.13,3.57,21.65,11.74,9.37,13.09,2.19,71.53755918,Plain,No,Yes,No,Hertzian,Bulbar,9,Righttriangle,Amorphous,Feather,Flat,60-90,No,debordant,indeterminate,Flake,
chert_condition_B,r42o8,95,left,yes,small splinters,0,,,Absent,6,Indeterminate,1,0,0,0,29.5,58.45,46.11,17.38,,,,,,,,,,,,,,,0,,No,Yes,No,Hertzian,,,,,Hinge,,,No,indeterminate,indeterminate,Flake,
chert_condition_B,r42o8,22,distal,no,,100,,,Absent,0,,0,0,0,0,20.4,49.43,38.81,12.17,,,,,,,,,,,,,,,0,,,,,,,,,,Feather,Pointed,30-60,No,indeterminate,indeterminate,Flake,
chert_condition_B,r42o8,30,indeterminate,yes,everything,,,,Absent,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Heavily broken
chert_condition_B,r42o8,47,complete,no,,10,Left,medial,Absent,4,Unidirectional,1,0,0,0,43.7,80.39,66.99,9.48,77.11,51.21,8.43,40.61,50.04,49.82,10.42,7.53,6.37,17.55,5.44,4.65,5.89,4.07,106.4857784,Plain,No,Yes,No,Hertzian,Bulbar,6,Lenticular,Ovoid,Feather,Flat,0-30,No,indeterminate,indeterminate,Flake,may be a break along the right lateral
chert_condition_B,r42o8,16,distal,no,,90,,,Absent,1,Unidirectional,0,0,0,0,5.8,35.23,30.31,5.42,,,,,,,,,,,,,,,0,,,,,,,,,,Feather,Rounded,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_B,r42o8,69,complete,no,,10,Right,medial,Absent,6,Bidirectional,1,0,0,0,38.2,68.67,46.75,15.01,37.35,61.56,13.36,67.32,53.53,38.36,11.58,12.16,8.35,37.38,10.9,11.63,12.67,3.5,98.04670464,Plain,No,Yes,No,Hertzian,Flat,1,Trapezoidal,Amorphous,Feather,Irregular,30-60,No,indeterminate,indeterminate,Flake,
chert_condition_B,r42o8,76,complete,no,,0,,,Absent,3,Bidirectional,1,0,0,0,4.8,37.64,24.37,6.49,27.54,21.16,5.39,19.54,18.83,16.78,6.08,5.62,4.67,22.08,6.3,5.33,6.69,1.71,58.71550709,Plain,No,Yes,No,Hertzian,Flat,,Trapezoidal,Parallel,Hinge,Pointed,0-30,No,indeterminate,indeterminate,Flake,
