"New Flake ID","Bifacial.shaping","Bipolar","Discoid","Core.on.flake","Laminar","Levallois","multidirectional","Platform","Sum","Sum.1","N Analysts","variable"
"67",0,0,50,0,0,0,0,0,50,100,1,"reduction system"
"68",0,0,0,0,25,25,0,0,50,100,2,"reduction system"
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"70",0,0,10,0,0,40,0,0,50,100,5,"reduction system"
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"72",0,0,12,0,0,25,12,0,50,99,4,"reduction system"
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"74",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"75",0,0,0,0,0,50,0,0,50,100,3,"reduction system"
"76",0,0,0,0,0,0,0,50,50,100,1,"reduction system"
"77",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"78",0,0,0,0,0,50,0,0,50,100,4,"reduction system"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"80",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"82",0,0,0,0,12,38,0,0,50,100,4,"reduction system"
"83",0,0,0,0,0,33,17,0,50,100,3,"reduction system"
"84",0,0,25,0,0,25,0,0,50,100,2,"reduction system"
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"86",0,0,0,0,33,17,0,0,50,100,6,"reduction system"
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"90",50,0,0,0,0,0,0,0,50,100,1,"reduction system"
"91",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"93",0,0,0,0,50,0,0,0,50,100,2,"reduction system"
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"96",0,0,0,0,0,50,0,0,50,100,1,"reduction system"
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"reduction system"
